subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Land Use Controls and Regulations,Mabel owns an acre of ground with 5 rental houses on it. She decides to sell them to the tenants. She needs:,a real estate license.,a public report.,Both (a) and (b),Neither (a) nor (b),b,"Correct answer is (b). She does not need a real estate license to sell her own property, but she does need a public report because she would be subdividing the property into 5 or more parcels."
Land Use Controls and Regulations,"Mr. Land owned two pieces of property and sold one parcel bordering on the road to Ms. Crow, reserving in the deed an easement for ingress and egress to and from the remaining real property for himself. After 5 years of non-use, Land attempted to use the easement, but was prohibited from doing so by Crow. A court would rule in this case that:",the easement was forfeited because it was not used for 5 years.,the easement was still valid because non-use never terminates any type of easement.,Ms. Crow could institute a quiet title action on the easement and probably be successful.,the easement was still valid since it had been created by deed.,d,Correct answer is (d). Only an easement acquired by prescription may be lost through non-use.
Land Use Controls and Regulations,"Mr. Landis owned two pieces of property and sold one parcel bordering on the road to Ms. Cowan, reserving in the deed an easement for ingress and egress to and from the remaining real property for himself. After 5 years of non-use, Landis attempted to use the easement, but was prohibited from doing so by Cowan. A court would rule in this case that:",the easement was forfeited because it was not used for 5 years.,the easement was still valid because non-use never terminates any type of easement.,Ms. Cowan could institute a quiet title action on the easement and probably be successful.,the easement was still valid since it had been created by deed.,d,Correct answer is (d). Only an easement acquired by prescription may be lost through non-use.
Land Use Controls and Regulations,"Mr. Wright wants to make an improvement on his home that will not be in conformity with the deed restrictions for his neighborhood. If his neighbor wants to stop him from proceeding, he would obtain a(n):",injunction.,desist and refrain order.,partition action.,attachment.,a,Correct answer is (a). The definition of the word injunction is a court order to restrain someone from doing a certain act.
Land Use Controls and Regulations,"Of the following, which would not be a blanket encumbrance in a subdivision?",Deeds of trust or mortgages,Subdivision lots improvement assessment bond,Mechanics' liens,All of the above,b,Correct answer is (b). An assessment bond is taken on each individual lot.
Land Use Controls and Regulations,"Once a subdivider receives a final public report from the Real Estate Commission, that report is good for a period of:",five years.,six years.,one year.,indefinitely.,a,"Correct answer is (a). The public report is valid for five years, with any material changes in the development reported to the commissioner, who then can issue an amendment to the original report."
Land Use Controls and Regulations,"Property owner Peter had an easement for ingress and egress through the property of his adjacent neighbor, Jonah. If Peter purchases Jonah's property, what will happen to Peter's easement through that property?",It will terminate by adverse possession,It will terminate by merger,It will terminate by prescription,It will terminate by deed,b,"Correct answer is (b). When two properties are owned by the same person, any easements that may have existed are terminated by the merger."
Land Use Controls and Regulations,"Public services such as roads, sewers, parks, schools, and fire stations in new developments may be financed under which law?",Street Improvement Act of 1911,Mello-Roos Community Facilities Act,Proposition 13,Proposition 60,b,"Correct answer is (b). The Mello-Roos Community Facilities Act of 1982 authorizes the formation of community facilities districts, the issuance of bonds and the levying of special taxes which will finance designated public facilities and services."
Land Use Controls and Regulations,"Rebecca bought a home that did not meet existing building codes, but was allowed to use it as a non-conforming building under what clause of the building code?",Grandfather clause,Due on sale clause,Subrogation clause,After-use clause,a,"Correct answer is (a). If a building or part of a building was built before the building code existed, it may remain as is, or grandfathered, until any material change takes place. At that time it must be brought up to code."
Land Use Controls and Regulations,Recording which of the following actions would give the least protection against a mechanic's lien?,Notice of accession,Notice of completion,Notice of non-responsibility,Notice of cessation,a,"Correct answer is (a). Answers (b), (c), and (d) would have some effect on mechanics' liens. Answer (a) is a made-up answer."
Land Use Controls and Regulations,Recording which of the following actions would give the least protection against a mechanic's lien?,Notice of accession,Notice of completion,Notice of non-responsibility,Notice of cessation,a,"Correct answer is (a). Answers (b), (c), and (d) would have some effect on mechanics' liens.  Answer (a) is a made-up answer."
Land Use Controls and Regulations,Restrictions on title to real property:,may be classified as public or private.,may be created by the County Board of Supervisors.,may be created by a subdivider before the sale of the property and would create an encumbrance on each lot in the subdivision.,all of the above are correct,d,Correct answer is (d). Statements of fact.
Land Use Controls and Regulations,Russ owns an acre of ground with 5 rental houses on it. He decides to sell them to the tenants. He needs:,a real estate license.,a public report.,both a and b,neither a nor b,b,"Correct answer is (b). He has created a subdivision and must follow the guidelines of the real estate commissioner and the subdivision laws. The public report is a document disclosing all important facts about the property, its marketing and the financing of the subdivision."
Land Use Controls and Regulations,"Subdivisions located in sparsely populated areas of California, made up of 50 parcels or more:",residential zones.,time shares.,land projects.,tracts.,c,Correct answer is (c). Definition
Land Use Controls and Regulations,"Tenants, Bob and Lisa Jones, allowed the children from the neighboring back lot to enter a gate in their backyard and travel through to the front yard in order to catch their school bus every weekday. By doing this, what have they created?",An encroachment,A leasehold estate,A less-than-freehold estate,An easement,d,Correct answer is (d). An easement is a right-of-way and can be granted by a tenant as long as it does not conflict the terms of the lease.
Land Use Controls and Regulations,The approval of sewage system in a subdivision is under the control of the:,planning commission.,local health officer.,local building inspector.,plumbing inspector.,b,Correct answer is (b). Construction regulations: local building inspector. Sanitation regulations: local health officer.
Land Use Controls and Regulations,The authority given by law for a creditor to obtain a charge or a debt from a debtor is in the broadest sense of the term a:,judgment.,attachment.,lien.,judgment and attachment.,a,"Correct answer is (a). The authority given by law or by court action is a judgment. An attachment, when allowed, is received prior to the judgment. When a judgment is recorded, it becomes a lien."
Land Use Controls and Regulations,"The authority given by law for a creditor to obtain a charge or a debt from a debtor is, in the broadest sense of the term, a:",judgment.,attachment.,lien.,judgment and attachment.,a,"Correct answer is (a). The authority given by law or by court action is a judgment. An attachment, when allowed, is received prior to the judgment. When a judgment is recorded, it becomes a lien."
Land Use Controls and Regulations,The basic regulations of the housing and construction industries in this state are accomplished by the:,State Contractors License Law.,local building codes.,State Housing Act.,any or all of the above,d,"Correct answer is (d). Answers (a), (b), and (c) all regulate the housing and construction industries in the state; therefore, answer (d) is the best answer."
Land Use Controls and Regulations,"The California Code of Civil Procedure provides that persons furnishing labor or material for the improvement of real estate may file liens upon the property affected if they are not compensated. Such liens are referred to as mechanic's liens. All of the following are correct statements concerning mechanic's liens, except:",a mechanic's lien must be recorded to be legally effective.,in a foreclosure sale the priority of a holder of a mechanic's lien over a holder of a trust deed or mortgage lien would be established by the date and time of recording of the respective liens.,the demolition of an old structure on a lot preparatory to building a new structure on the same lot often establishes the priority of mechanic's liens.,the owner of real property could be financially responsible for payment of mechanic's liens even though he has paid the general contractor in full.,b,Correct answer is (b). In a foreclosure sale the priority of a holder of a mechanic's lien over a holder of a trust deed or mortgage lien would be established by showing the contractor had begun his work prior to the recording of the trust deed or mortgage lien. The rest of the choices are correct.
Land Use Controls and Regulations,The California Real Estate Law defines a planned development as which of the following?,A condominium projects,A co-op apartment project,A subdivision,A community apartment project,c,"Correct answer is (c). A planned development containing 5 or more lots is defined as a subdivision. A condominium project containing 2 or more units, a stock cooperative having 2 or more shareholders, and a community apartment project containing 2 or more apartments are other forms of subdivisions."
Land Use Controls and Regulations,"The California State Housing Act, which contains minimum code requirements, is found in the:",State Contractor's Code.,Uniform Commercial Code.,Health and Safety Code.,Fair Housing Act.,c,"Correct answer is (c). The State Housing Law outlines minimum construction and occupancy requirements. Local building inspectors enforce the construction regulations and local health officers enforce the occupancy and sanitation regulations (Health and Safety Code Section 17910, et seq.)."
Land Use Controls and Regulations,The minimum crawl hole must be:,18 inches by 18 inches.,18 inches by 24 inches.,12 inches by 12 inches.,none of the above,b,"Correct answer is (b). A crawl hole gives a person access to the crawl space under the house, which is used to access plumbing and electrical connections under a house."
Land Use Controls and Regulations,The minimum crawl space under a house is:,7 inches.,18 inches.,24 inches.,36 inches.,b,Correct answer is (b). State Housing Act requires a crawl space minimum of 18 inches from the bottom of the joists.
Land Use Controls and Regulations,The most commonly accepted procedure for the enforcement of deed restrictions is by:,attachment.,lis pendens.,injunction.,eminent domain.,c,"Correct answer is (c). The penalty for a breach of a deed restriction is usually money damages or an injunction. An injunction is a court order forcing a person to do or not do an act, such as violating a private restriction."
Land Use Controls and Regulations,The most practical way to create restrictions on all lots in a new subdivision is to:,record a declaration of restrictions in the county where the subdivision is located.,post them on the property.,insert them in all deeds to the lots.,publish them in a legal newspaper.,a,"Correct answer is (a). Recording a copy of declaration of restrictions in the county where the property is located permits the subdivider to mention ""subject to restrictions of record"" in the deed of conveyance without spelling out all restrictions in the deed. This is the most practical way to do it."
Land Use Controls and Regulations,The Northern Telegraph Company has secured the right to place telegraph lines across the back of various residential properties. They have acquired an easement:,by prescription.,in gross.,that can be canceled if not used in 5 years.,known as a utility encroachment.,b,Correct answer is (b). Public utilities have easements that are not appurtenant to any one parcel. These are known as easements in gross and are the most common type of easement.
Land Use Controls and Regulations,The party who is responsible for the enforcement of sanitation and sewage requirements in a subdivision is the:,local building inspector.,health department.,local planning commission.,Real Estate Commission.,b,Correct answer is (b). It is the health department's duty to approve the adequacy of the sanitation facilities of a new subdivision.
Land Use Controls and Regulations,The party who is responsible for the enforcement of sanitation and sewage requirements in a subdivision is the:,local building inspector.,health department.,local planning commission.,Real Estate Commissioner.,b,Correct answer is (b). It is the Health Department's duty to approve the adequacy of the sanitation facilities of a new subdivision.
Land Use Controls and Regulations,"The personal, revocable, and unassignable permission of authority to do one or more acts on the land of another possessing any interest therein is a(n):",license.,easement.,encumbrance.,option.,a,"Correct answer is (a). A license is permission or authority to do a particular act on the land/property of another, usually on a nonexclusive basis. A license is a personal, revocable and nonassignable right."
Land Use Controls and Regulations,The primary purpose of a master plan is to show the location of:,commercial and industrial areas.,public streets.,residential districts.,all of the above.,d,Correct answer is (d). The master plan usually shows all of these things and more.
Land Use Controls and Regulations,The primary purpose of a master plan is to show the location of:,"commercial, industrial, and residential districts.",public streets.,seismic safety zones.,all of the above,d,Correct answer is (d). The master plan usually shows all of these things and more.
Land Use Controls and Regulations,The priority of a mechanic's lien dates from the commencement of the construction. A mechanic's lien need not be recorded to be effective.,Both statements are true,The first statement is true and the second statement is false,The first statement is false and the second statement is true,Both statements are false,b,"Correct answer is (b). The priority of any mechanic's lien dates from the commencement time of the work. All mechanic's lien holders are on a parity with each other but will precede any subsequent liens from the date construction begins; this means the first statement is true. A mechanic's lien must not only be recorded, but verified, to be effective. This makes the second statement false."
Land Use Controls and Regulations,The proper zoning for multiple family apartments would be:,A3.,C2.,M2.,R3.,d,"Correct answer is (d). A--Agriculture, C--Commercial, M--Manufacturing, R--Residential, R-3--Multiple Family Residential."
Land Use Controls and Regulations,The Real Estate Commissioner has primary regulatory authority over subdivision matters concerning:,alignment of streets within a tract.,design of the improvements to insure proper drainage.,financial arrangements to insure the completion of community facilities.,all of the above,c,"Correct answer is (c). The Commissioner regulates aspects concerning the sale of subdivided lands to prevent fraud, including monies for promised improvements. He does not concern himself with the physical improvements."
Land Use Controls and Regulations,The Real Estate Commissioner's Subdivision Final Public Report expires:,one year from the date of the report.,"never, unless a material change occurs.",five years from the date of the issuance of the report.,three years from the date of the issuance of the report.,c,"Correct answer is (c). Matter of law, unless there is a material change. The term of a final public report shall be limited to 5 years. [B&P Code å¤11228]. If during the life (5 years) of a final public report, the subdivision offering undergoes a ‰ŪĻmaterial change‰Ū¯ (e.g., change of ownership, change in purchase money handling procedure, change in use, etc.), the subdivider must apply for an amended public report. [Material change-C.Reg. 2800 (a) through (r)]. The developer shall amend or supplement its disclosure documents and registration information, to reflect any material change in any information and notify the commissioner within 20 calendar days of the material change. [B&P Code å¤11226(f)(1)]."
Land Use Controls and Regulations,The Real Estate Commissioner's Subdivision Final Public Report expires:,one year from the date of the report.,"never, unless a material change occurs.",five years from the date of the issuance of the report.,three years from the date of the issuance of the report.,c,"Correct answer is (c). Matter of law, unless there is a material change."
Land Use Controls and Regulations,The Real Estate Commissioner's Subdivision Final Public Report expires:,one year from the date of the report.,"never, unless a material change occurs.",five years from the date of the issuance of the report.,three years from the date of the issuance of the report.,c,"Correct answer is (c). Matter of law, unless there is a material change. The term of a final public report shall be limited to 5 years. [B&amp;P Code å¤11228]. If during the life (5 years) of a final public report, the subdivision offering undergoes a ‰ŪĻmaterial change‰Ū¯ (e.g., change of ownership, change in purchase money handling procedure, change in use, etc.), the subdivider must apply for an amended public report. [Material change-C.Reg. 2800 (a) through (r)]. The developer shall amend or supplement its disclosure documents and registration information, to reflect any material change in any information and notify the commissioner within 20 calendar days of the material change. [B&amp;P Code å¤11226(f)(1)]."
Land Use Controls and Regulations,The Real Estate Law defines a planned development as which of the following?,A condominium project,A co-op apartment project,A subdivision,A community apartment project,c,"Correct answer is (c). A planned development containing 5 or more lots is defined as a subdivision. A condominium project containing 2 or more units, a stock cooperative having 2 or more shareholders, and a community apartment project containing 2 or more apartments are other forms of subdivisions."
Land Use Controls and Regulations,The receipt for a Subdivision Final Public Report must be kept on file by the subdivider or his agent for a minimum of:,one year.,two years.,three years.,four years.,c,Correct answer is (c). A subdivider must keep a copy of the final public report for three years.
Land Use Controls and Regulations,"The right of the state to regulate for the purpose of promoting health, safety, welfare and morality is?",Police power,Eminent domain,Zoning,Impacting,a,"Correct answer is (a). Police power is the power of the state to enact laws within constitutional limits to promote the order, safety, health, morals, and general welfare of society."
Land Use Controls and Regulations,The State Housing Act:,sets minimum building standards.,may be adopted as a building code in an unincorporated area.,both (a) and (b) are correct statements,neither (a) nor (b) are correct statements,c,"Correct answer is (c). State Housing Law outlines the minimum construction and occupancy requirements for dwellings (per Health and Safety Code Section 17910, et. seq.)."
Land Use Controls and Regulations,The Street Improvement Act of 1911 allows how long to pay for an assessment before it goes to bond?,10 days,30 days,1 month,60 days,b,"Correct answer is (b). 30 days, not 1 month."
Land Use Controls and Regulations,The Street Improvement Act of 1911 allows land owners to do all of the following except:,put in sewers.,buy additional land for development as subdivision.,improve sidewalks.,all of the above,b,"Correct answer is (b). According to the Street Improvement Act of 1911, land owners may not buy additional land for development."
Land Use Controls and Regulations,"The Street Improvement Act of 1911 allows land owners to do all of the following, except:",put in sewers.,buy additional land for development as subdivision.,improve sidewalks.,all of the above.,b,"Correct answer is (b). According to the Street Improvement Act of 1911, land owners may not buy additional land for development."
Land Use Controls and Regulations,The Subdivision Map Act is concerned with:,financing aspects of a subdivision.,title aspects of a subdivision.,fair housing aspects of a subdivision.,physical aspects of a subdivision.,d,Correct answer is (d). Definition: The Subdivision Map Act is enforced by city or county authorities and is concerned with the physical aspects of a subdivision.
Land Use Controls and Regulations,The time period when a lis pendens is effective is:,before the trial is held.,until the lawsuit is dismissed.,until the final judgment is rendered.,in any of the above situations,d,"Correct answer is (d). A lis pendens is effective once it is recorded. This includes the time before trial is held, until the lawsuit is dismissed, or until final judgment is rendered."
Land Use Controls and Regulations,The topography of land is the defining of its surface features. A subdivider must give consideration to the topography of the proposed subdivided lands because:,some irregularities in the surface are desirable.,hilly or irregularly shaped lots reduce the cost of construction.,a rolling terrain is more monotonous than a flat terrain.,elevated lots are subject to inundation in the winter.,a,"Correct answer is (a). Irregularities refer to hills or slopes on the land. Homes with a view, or at least not on the same level as the other homes in the same neighborhood, usually are more desirable."
Land Use Controls and Regulations,The verification and recordation of the document is required to create a valid:,notice of default.,mortgage.,judgment attaching real property.,mechanic's lien.,d,Correct answer is (d). A mechanic's lien is the only one of these documents which must be verified and recorded in order to be valid.
Land Use Controls and Regulations,The written instrument used to create land restrictions for the benefit of lot owners in a new subdivision is:,declaration of restrictions.,a blanket deed of restrictions.,an order of desist and refrain.,a blanket quit claim deed.,a,Correct answer is (a). Restrictions for a new subdivision are listed in a recorded Declaration of Restrictions.
Land Use Controls and Regulations,There is a strict legal procedure of law for the attainment of a judgment. The legal procedure that is dependent on the rendering of a judgment is:,a Writ of Execution.,a preliminary injunction.,a Writ of Attachment.,none of the above,a,"Correct answer is (a). Answers (b) and (c) are awarded to the attainment of a judgment. Answer (a), a Writ of Execution, is awarded after a judgment is obtained; therefore, it is dependent upon a judgment."
Land Use Controls and Regulations,Three of the following are alike. Which does not fit with the others?,Easement,Lien,Judgment,Warranty deed,d,"Correct answer is (d). A warranty deed is not an encumbrance, the other three are encumbrances."
Land Use Controls and Regulations,Three of the following are alike. Which one which does not fit with the others?,Easement,Lien,Judgment,Grant deed,d,Correct answer is (d). A grant deed is not an encumbrance. The other three are encumbrances.
Land Use Controls and Regulations,Three of the four following real estate terms are closely associated. Which of the four terms does not belong with the group?,Deed of trust,Lien,Judgment,Claim,d,"Correct answer is (d). Individuals claim many things, but they are not necessarily liens. A deed of trust and judgment would be liens."
Land Use Controls and Regulations,Three of the four following real estate terms are closely associated. Which of the four terms does not belong with the group?,Deed of trust,Lien,Judgment,Claim,d,"Correct answer is (d). Individuals claim many things, but they are not necessarily liens. A deed of trust and judgment are liens."
Land Use Controls and Regulations,"Under the law, there are certain instruments that are not effective against mechanic's liens. Which of the following would be effective against a mechanic's lien?",Notice of non-responsibility,Notice of cessation,Notice of completion,All of the above,a,"Correct answer is (a). Answers (b) and (c) would set time limits on the filing of mechanic's liens but would not be effective against them. However, a notice of non-responsibility is effective against mechanic's liens."
Land Use Controls and Regulations,"Under the Map Act, control of subdivisions is made the concern of the:",Real Estate Commissioner.,local city and county authorities.,State Land Commissioner.,Commissioner of Corporations.,b,Correct answer is (b). City Council or County Board of Supervisors.
Land Use Controls and Regulations,"Under the provisions of the Interstate Subdivided Lands Act, can the buyer may rescind his offer within specified time limits, if he buys:",land projects.,condominium.,stock cooperative project.,none of the above,a,"Correct answer is (a). The law allows a buyer 14 days after signing a contract to purchase property in a land project to rescind the offer, with a full refund of any money paid."
Land Use Controls and Regulations,"Under the Quality Environmental Act, ""a negative declaration"" for a proposed subdivision would mean that it:",has not been approved by the Real Estate Commissioner and all construction must stop.,is an environmental hazard and it must be disclosed to prospective purchasers.,will not have any significant effects on the environment and the developer will not have to pay for a full environmental impact report.,has not been approved due to other environmental hazards in the area.,c,Correct answer is (c). It will not have any significant effects on the environment and the developer will not have to pay for a full environmental impact report.
Land Use Controls and Regulations,"Under the Street Improvement Act of 1911, what length of time do you have to pay the assessment lien against your property before the lien goes to bond?",90 days,45 days,30 days,15 days,c,"Correct answer is (c). 30 days, not 1 month."
Land Use Controls and Regulations,"Upon receiving his deed after the closing, the purchaser finds this statement in the deed: ""Title subject to a recorded deed of trust in the amount of $12,000, covenants, conditions, and restrictions in a declaration of restrictions recorded in Book 41483 Page 421 Official Records and an easement in favor of Big Telephone Corporation affecting said land for purposes of poles and conduits."" From an analysis of the facts, which of the following is a correct statement?",His title is encumbered with a lien and an easement but not with a deed restriction.,The utility easement constitutes a restriction in gross.,The utility easement constitutes an easement in gross.,The utility easement constitutes an illegal restriction.,c,"Correct answer is (c). The title is encumbered with a deed restriction. A utility easement is an easement in gross, not a restriction in gross."
Land Use Controls and Regulations,"Upon receiving his deed, the purchaser finds this statement in the deed: ""Title subject to a recorded deed of trust in the amount of $12,000, current taxes, covenants, conditions, and restrictions in a declaration of restrictions recorded in Book 41483 Page 421 Official Records and an easement in favor of Pacific Telephone Corporation affecting said land for purposes of poles and conduits."" From an analysis of the facts, which of the following is a correct statement?",His title is encumbered with a lien and an easement but not with a deed restriction.,The utility easement constitutes a restriction in gross.,The taxes create a specific lien on his title.,All of the above,c,"Correct answer is (c). The title is encumbered with a deed restriction. A utility easement is an easement in gross, not a restriction in gross. Answer (c) is the only correct statement. Taxes create a specific lien until paid."
Land Use Controls and Regulations,What is the general purpose of a building code?,Assure utilization of skilled labor,Assure compliance with regulatory agencies,Provide minimum construction requirements,Guarantee cost effectiveness,c,Correct answer is (c). The general purpose of a building code is to provide minimum construction standards.
Land Use Controls and Regulations,What is the general purpose of a building code?,assure utilization of skilled labor,assure compliance with regulatory agencies,provide minimum construction requirements,guarantee cost effectiveness,c,Correct answer is (c). The general purpose of a building code is to provide minimum construction standards.
Land Use Controls and Regulations,What is the primary tool used by a planning commission?,Eminent domain,Adverse possession,Zoning,General plan,c,"Correct answer is (c). A planning commission is an official agency usually organized on the city, county, or regional level to develop a master (General) plan which is the basis of and sets all community development decisions (land use proposals). The land use proposals outlined in a General Plan are implemented in many ways - zoning being the best known and most frequently used tool."
Land Use Controls and Regulations,What is the primary tool used by a planning commission?,Eminent domain,Adverse possession,Zoning,General plan,c,"Correct answer is (c). A planning commission is an official agency usually organized on the city, county, or regional level to develop a master (General. plan which is the basis of and sets all community development decisions (land use proposals). The land use proposals outlined in a General Plan are implemented in many ways - zoning being the best known and most frequently used tool."
Land Use Controls and Regulations,"When a judgment has been recorded, it provides __________ notice.",voidable,constructive,actual,contingent,b,Correct answer is (b). Recording a judgment gives constructive notice.
Land Use Controls and Regulations,"When seeking a variance, an owner would petition the local:",police force.,Board of REALTORS.,building department.,planning commission.,d,Correct answer is (d). The owner may ask the city or county (local planning commission) for a waiver or zoning variance.
Land Use Controls and Regulations,When the Real Estate Commissioner intends to rescind approval of a subdivision:,an injunction is issued.,a desist and refrain order is issued.,the developer's license is revoked.,none of the above,b,Correct answer is (b). The Real Estate Commissioner may issue a desist and refrain order to stop violations of the subdivision law.
Land Use Controls and Regulations,Which of the following does not belong?,Homesteading,Restrictions,Easements,Appurtenance,a,Correct answer is (a). Restrictions and easements are appurtenant. They run with the land and cannot be transferred from the land. A declaration of homestead protects the owner's equity in his home and can be transferred from the property.
Land Use Controls and Regulations,Which of the following elements of a subdivision are regulated by local planning commissions under the state Subdivision Map Act?,"The physical aspects, such as streets and sidewalks, of an out-of-state subdivision",Approval of the preliminary public report,Verification that the subdivider has a valid license issued by the Department of Real Estate,Assurance that adequate provisions have been made for sewage disposal and flood control,d,Correct answer is (d). Out-of-state subdivisions come under real property securities law. Approval of the preliminary public report is done by the commissioner. Answer (c) is not necessary at all.
Land Use Controls and Regulations,Which of the following elements of a subdivision are regulated by local planning commissions under the state Subdivision Map Act?,"The physical aspects, such as streets and sidewalks, of an out-of-state subdivision",Approval of the preliminary public report,Verification that the subdivider has a valid license issued by the Bureau of Real Estate,Assurance that adequate provisions have been made for sewage disposal and flood control,d,Correct answer is (d). Out-of-state subdivisions come under real property securities law. Approval of the preliminary public report is done by the commissioner. Answer (c) is not necessary at all.
Land Use Controls and Regulations,Which of the following elements of a subdivision law are administered by the Real Estate Commissioner?,"The physical aspects, such as streets and sidewalks, of an out-of-state subdivision",Adequate financial arrangements to ensure completion of community recreational facilities,"Approval of improvement contracts, and posting of adequate performance bonds",Statutory dedication of easements for streets,b,Correct answer is (b). Answer (a) comes under real property securities law. Answers (c) and (d) come under control of the local governing body.
Land Use Controls and Regulations,Which of the following is a lien?,Zoning ordinances,An attachment,An encumbrance,A homestead,b,"Correct answer is (b). A lien is a charge against the property whereby the property is made security for the payment of a debt. An attachment lien creates a lien on certain property of a defendant whereby it is held in custody until the court reaches a judgment. An encumbrance is an interest or a right in real property. Deeds of trust, mortgages, and judgments are money encumbrances known as liens. Restrictions and easements are non-money encumbrances but are not liens. A homestead is neither an encumbrance nor a lien."
Land Use Controls and Regulations,Which of the following is a non-money encumbrance?,Easement,Deed of trust,Mechanic lien,Judgment,a,"Correct answer is (a). Definition: A non-money encumbrance is one that affects the use of property such as an easement, a building restriction, an encroachment or a lease."
Land Use Controls and Regulations,Which of the following is considered to be both personal and revocable?,Encroachment,Easement,License,Option contract,c,Correct answer is (c). The license is the personal and revocable permission to do something on the land of another.
Land Use Controls and Regulations,Which of the following is not a characteristic of an easement?,It is an interest which may be protected against interference by third parties.,It is capable of being created by reconveyance.,It is considered as a non-possessory interest.,It is an interest which may be terminated at will by the possessor of the land.,d,"Correct answer is (d). The others are all true concerning an easement. Once granted, an easement can not be revoked."
Land Use Controls and Regulations,Which of the following is not an encumbrance?,Homestead,Lien,Encroachment,Easement,a,Correct answer is (a). A homestead is the only one which adds to the rights of the owner of the subject property. The others infringe or impose upon the benefit or advantage of others.
Land Use Controls and Regulations,Which of the following is the least effectively enforced restriction?,Minimum lot size,Minimum room size,Fence height limitations,Minimum amount of improvements to be made,d,"Correct answer is (d). A ""minimum amount of improvements"" is generally a deed restriction to be applied to future use of land. But choices (a), (b), and (c) are usually restrictions in the form of zoning laws and enforced by public authorities."
Land Use Controls and Regulations,Which of the following is the least enforceable requirement of a subdivision improvement?,A minimum dollar value,A minimum lot size,A minimum area requirement,A maximum height restriction,a,Correct answer is (a). The other choices are common and enforceable. It would be very difficult to enforce a requirement stating one had to spend a certain amount of money in the improvements as one may be able to build just as beautiful and big a house as someone else and for less money.
Land Use Controls and Regulations,Which of the following statements is true with respect to planning commissions?,All members are elected,Members must have had real estate or subdivision experience,They are authorized to give advise to the city council on subdivisions,Members must be real estate brokers,c,"Correct answer is (c). Members of the Planning Commission should be knowledgeable in the field of real estate and city planning, but this is not a prerequisite for being a member. The members are appointed and it is their job to develop a master plan and advise the City Council in this area."
Land Use Controls and Regulations,Which of the following statements is true with respect to planning commissions?,All members are elected.,Members must have had real estate or subdivision experience.,They are authorized to give advice to the city council on subdivisions.,Members must be real estate brokers.,c,"Correct answer is (c). Members of the planning commission should be knowledgeable in the field of real estate and city planning, but this is not a prerequisite for being a member. The members are appointed and it is their job to develop a master plan and advise the city council in this area."
Land Use Controls and Regulations,"Which of the following statements of fact best matches the term ""lien?""",Contract of leasing,Contract of conveyance,Contract of money,Contract of pledge,c,Correct answer is (c). A lien is an obligation to pay a money encumbrance that may be voluntary or involuntary.
Land Use Controls and Regulations,Which of the following statements of fact best matches the term judgment?,Contract of leasing,Contract of conveyance,Contract of money,Contract of pledge,c,Correct answer is (c). Judgments are money or financial encumbrances - final determinations by the court of the rights of parties in a lawsuit.
Land Use Controls and Regulations,Which of the following terms is most commonly used in California in reference to liens against real property?,Specific,Gross,Personal,Appurtenant,a,"Correct answer is (a). Statutory liens for taxes and liens such as mortgages, deeds of trust, and mechanic's liens are all specific."
Land Use Controls and Regulations,Which of the following terms is not generally associated with encumbrances?,Easement,Lien,Lease,Claim,d,"Correct answer is (d). A claim is an asserted right, but not an encumbrance."
Land Use Controls and Regulations,Which of the following would affect a contractor or a sub-contractor in filing a mechanic's lien?,Notice of completion,Notice of non-responsibility,Notice of cessation,All of the above,d,Correct answer is (d). Any one of these three would have an affect on their statutory right to file a mechanic's lien.
Land Use Controls and Regulations,Which of these notices is important for a mechanic's lien?,Notice of non-responsibility,Notice of cessation,Notice of completion,All of the above,d,Correct answer is (d). All of these notices start the running of a limited period of time in which to file a mechanic's lien and are therefore very important.
Land Use Controls and Regulations,"Who is responsible for assuring completion of paved streets, utilities, and curbs in a new subdivision?",The developer,The city,The county,The federal government,a,"Correct answer is (a). The developer usually has the responsibility for completing the streets, utilities, and curbs in a new subdivision."
Land Use Controls and Regulations,"Who is responsible for assuring completion of paved streets, utilities, and curbs, in a new subdivision?",The developer,The city,The county,The federal government,a,"Correct answer is (a). The developer usually has the responsibility for completing the streets, utilities and curbs in a new subdivision."
Land Use Controls and Regulations,Who places the restrictions in a deed to a condominium unit in a new subdivision?,Local planning commission,Project developers,Elected governing board,Unit owners,b,"Correct answer is (b). Deed restrictions are normally placed in the deed by the subdivider-the original grantor. ""Project developer"" is the term used for the subdivider of a condominium project."
Land Use Controls and Regulations,Who places the restrictions in a deed to a condominium unit in a new subdivision?,Local planning commission,Project developers,Elected governing board,Unit owners,b,Correct answer is (b). Deed restrictions are normally placed in the deed by the subdivider-the original grantor. Project developer is the term used for the subdivider of a condominium project.
Land Use Controls and Regulations,"With certain exceptions, a property tax lien has priority over other interests in real property:",according to date the lien was recorded.,regardless of when recorded.,based upon when the tax law was passed.,only if the property owner agrees to assume the obligation.,b,"Correct answer is (b). With certain exceptions, taxes are first in priority."
Land Use Controls and Regulations,"With certain exceptions, property taxes that have become a lien take priority over all other interests in real property:",if recorded first.,regardless of when they are recorded.,if no action has been taken on previously recorded liens.,all of the above,b,Correct answer is (b). A mechanic's lien has priority over any other liens filed (or recorded) with the exception of government liens (unpaid property taxes or special assessments).
Land Use Controls and Regulations,"With permissive use, an easement by prescription can be created within:",2 years.,10 years.,20 years.,none of the above,d,"Correct answer is (d). Must be hostile use, not permissive use."
